BMI,,,,,,,,,,
Males,,,,,,Females,,,,
Age,C3,C25,C50,C75,C97,C3,C25,C50,C75,C97
15.25,15.48,17.95,19.62,21.64,26.82,16.52,18.57,19.86,21.25,24.06
15.5,15.63,18.16,19.87,21.93,27.2,16.74,18.76,20,21.35,24.02
15.75,15.79,18.36,20.11,22.22,27.58,16.96,18.94,20.15,21.44,23.98
16,15.94,18.57,20.35,22.5,27.95,17.18,19.12,20.29,21.54,23.94
16.25,16.07,18.76,20.58,22.78,28.31,17.4,19.29,20.43,21.62,23.9
16.5,16.2,18.94,20.8,23.04,28.66,17.6,19.45,20.55,21.69,23.86
16.75,16.32,19.11,21.01,23.29,28.99,17.8,19.6,20.66,21.75,23.81
17,16.42,19.27,21.2,23.52,29.3,17.99,19.74,20.75,21.8,23.76
17.25,16.52,19.42,21.39,23.76,29.61,18.17,19.86,20.84,21.85,23.7
17.5,16.62,19.57,21.58,23.99,29.92,18.34,19.98,20.93,21.89,23.65
17.75,16.71,19.72,21.77,24.22,30.23,18.5,20.09,21,21.92,23.59
18,16.8,19.87,21.95,24.45,30.53,18.66,20.2,21.07,21.95,23.54
